Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,02-01-21,R-02-01-21,01-01-21,R-01-01-21
1,WORKING,Missed,7,Missed,8,Missed,7,Missed,7,Missed,10,Missed,10,Missed,7,Missed,8,Missed,7,Missed,10
2,,Missed,10,Missed,5,Missed,7,Attended,6,Missed,9,Attended,6,Attended,9,Missed,10,Attended,8,Missed,9
3,STUDENT,Missed,8,Missed,7,Missed,7,Missed,6,Attended,10,Attended,5,Missed,8,Missed,5,Attended,5,Attended,7
4,STUDENT,Missed,7,Missed,7,Attended,9,Missed,10,Missed,10,Missed,6,Attended,7,Attended,9,Attended,7,Attended,10
5,WORKING,Missed,5,Missed,9,Missed,7,Missed,9,Missed,7,Missed,5,Missed,8,Missed,10,Missed,7,Missed,7
6,,Missed,6,Missed,8,Missed,5,Missed,5,Missed,7,Missed,8,Attended,8,Attended,6,Attended,10,Attended,7
7,STUDENT,Attended,9,Attended,5,Attended,10,Attended,5,Attended,8,Attended,7,Attended,5,Attended,6,Attended,8,Attended,5
8,STUDENT,Missed,5,Missed,7,Missed,7,Missed,7,Missed,10,Missed,10,Missed,9,Missed,5,Missed,8,Missed,5
9,IGNORE,Missed,6,Missed,6,Missed,10,Missed,9,Missed,10,Missed,9,Missed,5,Missed,5,Missed,6,Missed,8
10,,Missed,9,Missed,10,Missed,7,Missed,10,Missed,9,Missed,6,Missed,7,Missed,7,Missed,7,Missed,9
11,STUDENT,Attended,9,Attended,10,Attended,10,Attended,9,Attended,5,Attended,10,Attended,8,Attended,5,Attended,9,Attended,7
12,STUDENT,Attended,9,Attended,6,Attended,6,Attended,5,Attended,8,Attended,6,Attended,10,Attended,9,Attended,9,Attended,5
13,STUDENT,Attended,10,Attended,7,Attended,9,Attended,7,Attended,5,Attended,5,Attended,7,Attended,9,Attended,8,Attended,10
14,STUDENT,Attended,6,Attended,7,Attended,8,Attended,8,Attended,10,Missed,6,Attended,7,Attended,10,Attended,6,Attended,7
15,WORKING,Attended,10,Attended,6,Attended,5,Attended,5,Attended,6,Attended,5,Attended,7,Attended,10,Attended,8,Attended,5
16,WORKING,Missed,9,Missed,5,Missed,6,Attended,6,Attended,8,Missed,9,Attended,8,Attended,8,Attended,5,Attended,10
17,STUDENT,Attended,9,Attended,10,Attended,9,Attended,5,Missed,6,Missed,9,Attended,7,Missed,10,Missed,8,Missed,6
18,,Missed,9,Missed,7,Missed,5,Missed,6,Missed,8,Missed,8,Missed,6,Missed,6,Missed,7,Missed,9
19,,Missed,8,Missed,8,Missed,6,,7,,6,,5,,6,,5,,5,,6
20,,Missed,7,Attended,8,Missed,10,Attended,5,Missed,10,Attended,8,Attended,10,Attended,8,Attended,10,Missed,5
21,,Missed,9,Missed,7,Missed,10,Missed,5,Missed,10,Missed,8,Missed,8,Missed,5,Missed,8,Missed,10
22,WORKING,Attended,10,Attended,5,Attended,8,Attended,9,Attended,10,Attended,5,Attended,10,Attended,7,Attended,5,Attended,8
23,,Missed,7,Missed,7,Missed,9,Missed,5,Missed,10,Missed,6,Missed,6,Missed,9,Missed,6,Missed,7
24,WORKING,Attended,6,Attended,10,Attended,9,Attended,6,Attended,10,Missed,10,Attended,5,Missed,6,Attended,8,Attended,5
25,STUDENT,Attended,8,Attended,6,Attended,9,Attended,5,Attended,7,Attended,8,Attended,7,Attended,6,Attended,8,Attended,5
26,STUDENT,Attended,9,Attended,7,Attended,10,Attended,10,Attended,8,Attended,8,Missed,10,Attended,8,Attended,6,Attended,5
27,,Missed,6,Missed,7,Missed,9,Attended,7,Attended,10,Attended,7,Missed,8,Missed,6,Missed,6,Attended,6
